"Issue ID","Severity","Function/screen","Reproduction","Expected","Actual before fix","Evidence and suspected cause","Fix status","Retest evidence"
"LOGIC-001","High","Tender reconciliation","Execute with empty controls and tenders","Blocked missing evidence","Passed through All on empty collection","ReportingServicesTests empty evidence regression","Fixed","verified/audit-summary.json PASS; 615 tests; live SQL and 140 render outputs; see domain audit for limits"
"LOGIC-002","High","Stock reconciliation","Execute with no positions","Blocked missing evidence","Passed through All on empty collection","ReportingServicesTests empty positions regression","Fixed","verified/audit-summary.json PASS; 615 tests; live SQL and 140 render outputs; see domain audit for limits"
"LOGIC-003","Medium","Batch imports","Cancel during transient processor failure","No subsequent processor call","Another retry invocation after cancellation","BatchImportTests deferred cancellation regression","Fixed","verified/audit-summary.json PASS; 615 tests; live SQL and 140 render outputs; see domain audit for limits"
"UI-001","High","Daily Workflow","Change store/date during pending readiness refresh","Old completion cannot enable finalisation","Old scope completion overwrites current state","Deferred query regression and scope revision guard","Fixed","verified/audit-summary.json PASS; 615 tests; live SQL and 140 render outputs; see domain audit for limits"
"UI-002","High","Manual Entry","Invoke Save twice while first persistence pending","Exactly one write and draft retained on failure","Overlapping submissions possible","Deferred command regression and busy guard","Fixed","verified/audit-summary.json PASS; 615 tests; live SQL and 140 render outputs; see domain audit for limits"
"UI-003","Medium","Daily Workflow labels","Open manual and physical input forms","Each input has visible label","Inputs rely on invisible tooltip/accessibility text","Before 07-manual-entry screenshot","Fixed","verified/audit-summary.json PASS; 615 tests; live SQL and 140 render outputs; see domain audit for limits"
"REL-001","High","Windows packaging","Pass existing output to release builder","Previous candidate preserved","Output recursively deleted after tests","ReleaseOutputPreservationTests and source review","Fixed","verified/audit-summary.json PASS; 615 tests; live SQL and 140 render outputs; see domain audit for limits"
"REL-002","Medium","Installer packaging","Select payload differing from installer version","Reject mismatch and package explicit selected payload","Hardcoded payload and newest-file selection could bind wrong artifact","Version binding and explicit output paths","Fixed","verified/audit-summary.json PASS; 615 tests; live SQL and 140 render outputs; see domain audit for limits"
"COV-001","Medium","Function audit","Generate inventory with evidence category labels","Labels distinguished from executed behavior","Zero uncovered advertised without per-function execution","FunctionAudit generator and new review coverage matrix","Documented","251 explicit statuses; no blanket acceptance"
"GATE-001","Acceptance gate","Installer install and upgrade","Run mandatory bootstrap on isolated Windows environment","Isolated lifecycle proof","No isolated VM or sandbox available; bootstrap targets fixed EtpReporting DB","Read-only environment inventory","Not run","Engineering candidate required"
"GATE-002","Acceptance gate","Role and UI journeys","Execute 85 role scenarios and OS scaling matrix","Observed workflow acceptance","Full matrix not yet observed","ROLE-UAT.csv","Open","Do not infer from unit tests or renders"
"UI-004","High","Reports","Complete old query after newer report","Keep newer rows and export metadata","Old query overwrote newer report","Deferred success and failure WPF cases","Fixed","615 tests PASS including ReportsRequestOrderingTests"
"UI-005","High","Report filters","Edit date while query pending or after load","Invalidate export until rerun","Old data could be exported with changed filters","Date invalidation WPF regression","Fixed","615 tests PASS including ReportsRequestOrderingTests"
"UI-006","High","Settings","Complete older health check after newer connection","Keep newer active and persisted connection","Older health result reverted database","Deferred health success/failure WPF tests","Fixed","615 tests PASS including SettingsWorkspaceViewTests"
"UI-007","Medium","Daily Workflow date","Open form at requested sizes","Full business date readable","Last year digit clipped","Actual 960 and 1366 render inspection","Fixed","after/all-workspace-routes/destination-manual-entry-960x600.png inspected: full 9/10/2026 readable; 140 refreshed renders; release suite 615 PASS"
