"GateId","Gate","RequiredResult","CurrentResult","EvidenceReference","Approver","ApprovedUtc","Notes"
"AUTO-001","Function-first automated audit","PASS","PASS","verification/function-audit/current/audit-summary.json","","","244 active functions mapped; zero uncovered"
"AUTO-002","Build and automated tests","PASS","PASS","verification/function-audit/current/logs/01-build.log; verification/function-audit/current/logs/04-dotnet-tests.log","","",""
"AUTO-003","Synthetic imports and live SQL controls","PASS","PASS","verification/function-audit/current/logs/03-offline-import.log; verification/function-audit/current/logs/10-live-sql.log","","",""
"AUTO-004","All workspace and report routes render","PASS","PASS","verification/function-audit/current/logs/09-ui-all-routes.log","","","14 workspace routes and 29 report routes"
"AUTO-005","Export and performance gates","PASS","PASS","verification/function-audit/current/logs/05-excel-export.log; verification/function-audit/current/logs/06-pdf-export.log; verification/function-audit/current/logs/08-performance.log","","",""
"REL-001","Frozen candidate identity and clean source","PASS","NOT RUN","","","","Candidate not built"
"REL-002","Application/installer/offline bundle hash binding","PASS","NOT RUN","","","",""
"REL-003","SBOM and provenance consistency","PASS","NOT RUN","","","",""
"REL-004","Clean-PC install/prerequisite matrix","PASS","NOT RUN","","","",""
"REL-005","Repair/upgrade/uninstall preserves data","PASS","NOT RUN","","","",""
"UAT-001","Owner role UAT","PASS","NOT RUN","","","",""
"UAT-002","Store Manager role UAT","PASS","NOT RUN","","","",""
"UAT-003","Viewer role UAT and denied mutations","PASS","NOT RUN","","","",""
"UAT-004","All active function-register rows dispositioned","PASS","NOT RUN","","","",""
"EXT-001","Keyboard/Narrator/scaling/high-contrast/touch","PASS","NOT RUN","","","",""
"EXT-002","Microsoft Excel/PDF/physical print","PASS","NOT RUN","","","",""
"EXT-003","Email/WhatsApp preparation integration","PASS","NOT RUN","","","","Do not claim delivery without evidence"
"OPS-001","Live backup, isolated restore and DBCC CHECKDB","PASS","NOT RUN","","","",""
"OPS-002","Scheduled backup/drill and reboot observation","PASS","NOT RUN","","","",""
"SEC-001","Authenticode signature and approved publisher","PASS","BLOCKED","","","","Publisher identity/certificate required"
"SCOPE-001","Seven unavailable/deferred features accepted as out of release scope","APPROVED","NOT RUN","","","","Owner scope acknowledgement required"
"SCOPE-002","Pending business/source/ACL decisions dispositioned","APPROVED","BLOCKED","docs/PENDING_INPUT_AND_DEFERMENT_REGISTER.md","","",""
"DEF-001","No open S1/S2; all S3/S4 dispositioned","PASS","NOT RUN","","","",""
"SIGN-001","Business owner sign-off","APPROVED","NOT RUN","","","",""
"SIGN-002","Operations owner sign-off","APPROVED","NOT RUN","","","",""
"SIGN-003","Release approver authorizes push/tag/release","APPROVED","NOT RUN","","","",""
