"ScenarioId","Area","Scenario","OwnerExpected","StoreManagerExpected","ViewerExpected","ExpectedEvidence","Result","EvidenceReference","DefectId","Tester","ExecutedUtc"
"ENV-001","Installer","Clean install with SQL absent","ALLOW","NOT APPLICABLE","NOT APPLICABLE","Installer log; service state; application connection","NOT RUN","","","",""
"ENV-002","Installer","Install with supported SQL already present","ALLOW","NOT APPLICABLE","NOT APPLICABLE","Installer log; prerequisite reuse","NOT RUN","","","",""
"ENV-003","Installer","Offline install without internet","ALLOW","NOT APPLICABLE","NOT APPLICABLE","Offline bundle hash and install log","NOT RUN","","","",""
"ENV-004","Installer","Controlled prerequisite failure rolls back safely","ALLOW","NOT APPLICABLE","NOT APPLICABLE","Failure log; preserved system/data state","NOT RUN","","","",""
"ENV-005","Installer","Repair, upgrade and uninstall preserve database/backups","ALLOW","NOT APPLICABLE","NOT APPLICABLE","Lifecycle logs and before/after hashes","NOT RUN","","","",""
"START-001","Startup","Interactive startup and automatic connection health","ALLOW","ALLOW","ALLOW","Screen recording or screenshots; safe log","NOT RUN","","","",""
"START-002","Startup","Initialize-database mode","ALLOW","DENY","DENY","Exit code; migration journal; denial evidence","NOT RUN","","","",""
"START-003","Startup","One-shot automation mode","ALLOW","DENY","DENY","Automation run history; denial evidence","NOT RUN","","","",""
"ROLE-001","Access","Owner sees and can enter all authorized modules","ALLOW","NOT APPLICABLE","NOT APPLICABLE","Module screenshots and audit identity","NOT RUN","","","",""
"ROLE-002","Access","Store Manager cannot enter Owner administration/approvals","ALLOW","DENY","NOT APPLICABLE","Denied UI and direct-path attempt","NOT RUN","","","",""
"ROLE-003","Access","Viewer cannot import, mutate, approve or administer","ALLOW","DENY","DENY","Denied UI and direct-path attempts; no state change","NOT RUN","","","",""
"DASH-001","Dashboard","Overview, daily health, activity and control summary","ALLOW","ALLOW","ALLOW","Dashboard evidence for synthetic date","NOT RUN","","","",""
"DAY-001","Daily Workflow","Missing remains distinct from explicit zero","ALLOW","ALLOW","VIEW","Before/after state and audit history","NOT RUN","","","",""
"DAY-002","Daily Workflow","Manual cash/service/walk-in values and reasons","ALLOW","ALLOW","VIEW","Input history and expected cash control","NOT RUN","","","",""
"DAY-003","Daily Workflow","Physical count, composition warning and system variance","ALLOW","ALLOW","VIEW","GAUTO/WQ/SYNTHETIC_ZERO rows","NOT RUN","","","",""
"DAY-004","Daily Workflow","Staff targets and achievement","ALLOW","ALLOW","VIEW","CRO target and report evidence","NOT RUN","","","",""
"DAY-005","Daily Workflow","Generate store and combined packs","ALLOW","ALLOW","ALLOW","Passed pack; generation numbers; hashes","NOT RUN","","","",""
"DAY-006","Daily Workflow","Finalise, deny locked mutation, controlled reopen and refinalise","ALLOW","DENY REOPEN","VIEW","Events; locked state; denial; Owner reopen","NOT RUN","","","",""
"IMP-001","Imports","R025 Variant-wise Sales exact profile","ALLOW","ALLOW","DENY","Matched profile; 3 rows/store; lineage","NOT RUN","","","",""
"IMP-002","Imports","R022 Revenue/tender exact profile","ALLOW","ALLOW","DENY","Controls/tenders; PAYMENTTYPE25 quarantine","NOT RUN","","","",""
"IMP-003","Imports","R013 CRO-wise Sales exact profile","ALLOW","ALLOW","DENY","Matched enrichments and staff attribution","NOT RUN","","","",""
"IMP-004","Imports","R003 Discount exact profile","ALLOW","ALLOW","DENY","Matched enrichments; PII excluded","NOT RUN","","","",""
"IMP-005","Imports","Variant Stock Ledger exact profile","ALLOW","ALLOW","DENY","Opening + movement = closing","NOT RUN","","","",""
"IMP-006","Imports","Closing Stock exact profile","ALLOW","ALLOW","DENY","2 rows/store; total quantity 60","NOT RUN","","","",""
"IMP-007","Imports","Folder/ZIP bulk import, progress, cancel and retry","ALLOW","ALLOW","DENY","Batch summary and safe error states","NOT RUN","","","",""
"IMP-008","Imports","Exact duplicate is skipped without duplicate facts","ALLOW","ALLOW","DENY","Hash match; skipped outcome; unchanged totals","NOT RUN","","","",""
"IMP-009","Imports","Already-present and changed overlap route correctly","ALLOW","ALLOW","DENY","Outcome and conflict-review evidence","NOT RUN","","","",""
"IMP-010","Imports","Unknown/changed layout fails closed","ALLOW","ALLOW","DENY","Blocker code; no persisted facts","NOT RUN","","","",""
