original_entry_id,original_label,original_destination,feature_code,canonical_route_id,module,category,task,owner,access_policy,availability,unavailable_reason,screen_pattern,primary_action,normal_viewport_expectation,constrained_viewport_expectation,implementation_status,navigation_result,search_result,state_result,visual_result,keyboard_result,installed_result,evidence,open_issue
dashboard,Overview,Dashboard,,dashboard,Dashboard,Overview,Today Overview,DashboardView,1,ACTIVE,,Focused task,Refresh dashboard,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
daily-health,Daily Health,Dashboard,,daily-health,Dashboard,Business Day,Daily Health,DashboardView,1,ACTIVE,,Focused task,Refresh dashboard,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
manual-entry,Manual Entry,Manual Entry,,walk-ins,Dashboard,Daily Close,Walk-ins,DailyWorkflowWorkspaceView,2,ACTIVE,,Focused task,Save manual input,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
readiness,Readiness,Daily Workflow,,readiness,Dashboard,Daily Close,Readiness,DailyWorkflowWorkspaceView,1,ACTIVE,,Focused task,Refresh daily workflow,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
finalisation,Finalisation Status,Daily Workflow,,finalisation,Dashboard,Daily Close,Finalisation Status,DailyWorkflowWorkspaceView,1,ACTIVE,,Focused task,Refresh daily workflow,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
trends,Trends,Operations Center,,trends,Dashboard,Performance,Trends,OperationsWorkspaceView,1,ACTIVE,,Focused task,Refresh operations center,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
store-comparison,Store Comparison,Sales Reports,sales-combined,report-sales-combined,Reports,Sales,Combined Sales Summary,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
target-progress,Target Progress,Sales Reports,staff,report-staff,Reports,Staff,Staff/CRO Performance,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
control-summary,Control Summary,Operations Center,,control-summary,Dashboard,Controls,Control Summary,OperationsWorkspaceView,1,ACTIVE,,Focused task,Refresh operations center,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
recent-activity,Recent Activity,Dashboard,,recent-activity,Dashboard,Controls,Recent Activity,Shell,1,ACTIVE,,Focused task,Open the labelled task or selected item,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
reports-home,Reports Overview,Sales Reports,,reports-home,Reports,Overview,Reports Overview,Shell,1,ACTIVE,,Focused task,Open the labelled task or selected item,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
reports-dsr-favourite,Daily Sales / DSR,Sales Reports,dsr,report-dsr,Reports,Sales,Daily Sales Report,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
reports-closing-favourite,Closing Stock,Sales Reports,stock-closing,report-stock-closing,Reports,Stock,Closing Stock,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
reports-staff-favourite,Staff/CRO Performance,Sales Reports,staff,report-staff,Reports,Staff,Staff/CRO Performance,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-dsr,Daily Sales / DSR,Sales Reports,dsr,report-dsr,Reports,Sales,Daily Sales Report,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
