"FunctionId","Kind","Function","Active","ReviewStatus","StaticReview","AutomatedBehavior","RenderCoverage","ObservedInteraction","SourceReference","CurrentEvidence","AssignedEvidenceLayers","RemainingVerification","DeferredReason"
"module:dashboard","Module","Dashboard","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","LIMITED_PACKAGED_STARTUP_AND_DATA_OBSERVED","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification; packaged-ui.txt: synthetic dashboard 12 files/42 rows and healthy SQL; F1 Help and Alt+Left verified","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"module:reports","Module","Reports","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"module:accounting","Module","Accounting","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"module:imports","Module","Imports","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"module:archive","Module","Archive","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"module:exceptions","Module","Exceptions","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"module:registers","Module","Registers","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"module:approvals","Module","Approvals","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"module:health","Module","System Health","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:dashboard","Navigation function","Overview","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
